epoch,loss,lr
1,3.14144667,0.000999938
2,2.818049351,0.000999753
3,2.562721809,0.000999445
4,2.440023422,0.000999013
5,2.366810799,0.000998459
6,2.324138323,0.000997781
7,2.342786233,0.00099698
8,2.299688657,0.000996057
9,2.251398643,0.000995012
10,2.207084417,0.000993844
11,2.129286925,0.000992555
12,2.163376649,0.000991144
13,2.162828763,0.000989611
14,2.173191627,0.000987958
15,2.158773581,0.000986185
16,2.084731778,0.000984292
17,2.126078844,0.000982279
18,2.080206156,0.000980147
19,2.092922767,0.000977897
20,2.121612549,0.000975528
21,2.091254075,0.000973043
22,2.088989099,0.00097044
23,2.102361361,0.000967722
24,2.127098441,0.000964888
25,2.073913376,0.00096194
26,2.045242866,0.000958877
27,2.024943272,0.000955702
28,2.040153861,0.000952414
29,2.081601461,0.000949014
30,2.054382722,0.000945503
31,1.999139786,0.000941883
32,2.018695116,0.000938153
33,1.976057212,0.000934316
34,2.009701888,0.000930371
35,1.98384877,0.00092632
36,2.066991011,0.000922164
37,1.952243487,0.000917904
38,2.038322926,0.00091354
39,1.973519961,0.000909075
40,1.98147277,0.000904508
41,2.001100381,0.000899842
42,1.987470071,0.000895078
43,1.964566708,0.000890215
44,1.99339509,0.000885257
45,1.978411277,0.000880203
46,1.921599706,0.000875056
47,1.995432695,0.000869816
48,1.984263539,0.000864484
49,1.970471263,0.000859063
50,1.923267881,0.000853553
51,1.929936687,0.000847956
52,1.936303417,0.000842274
53,2.018485785,0.000836506
54,1.965627193,0.000830656
55,1.928320169,0.000824724
56,2.016512116,0.000818712
57,1.951781432,0.000812621
58,1.964318871,0.000806454
59,2.011457602,0.00080021
60,1.957883596,0.000793893
61,1.932934801,0.000787503
62,2.00884219,0.000781042
63,2.050703684,0.000774511
64,1.986377239,0.000767913
65,1.959209283,0.000761249
66,1.923340321,0.000754521
67,1.93422389,0.000747729
68,1.973290364,0.000740877
69,1.967962662,0.000733965
70,2.029176593,0.000726995
71,2.016794721,0.00071997
72,1.957760294,0.00071289
73,1.997394125,0.000705757
74,1.970169187,0.000698574
75,1.89753449,0.000691342
76,1.963303407,0.000684062
77,1.924455126,0.000676737
78,1.902357936,0.000669369
79,1.976221959,0.000661959
80,1.967494965,0.000654508
81,2.035463929,0.00064702
82,1.915808717,0.000639496
83,1.9431264,0.000631937
84,1.911212762,0.000624345
85,1.956429521,0.000616723
86,1.959935625,0.000609072
87,1.951366901,0.000601394
88,1.903777361,0.000593691
89,2.001072764,0.000585965
90,1.925707658,0.000578217
91,1.977830728,0.000570451
92,1.896239916,0.000562667
93,1.96405681,0.000554867
94,1.961797118,0.000547054
95,1.928952018,0.00053923
96,2.004517476,0.000531395
97,1.918097496,0.000523553
98,1.938605865,0.000515705
99,1.920638363,0.000507854
100,1.934981823,0.0005
101,1.899969339,0.000492146
102,1.935625235,0.000484295
103,1.901438912,0.000476447
104,1.93429625,0.000468605
105,1.889766494,0.00046077
106,1.901949684,0.000452946
107,1.91432635,0.000445133
108,1.903439879,0.000437333
109,1.949980338,0.000429549
110,1.972515901,0.000421783
111,1.892225027,0.000414035
112,1.921018322,0.000406309
113,1.9132092,0.000398606
114,1.944587668,0.000390928
115,1.959328651,0.000383277
116,1.944405317,0.000375655
117,1.942799648,0.000368063
118,1.908645471,0.000360504
119,1.890969316,0.00035298
120,1.930315137,0.000345492
121,1.896940271,0.000338041
122,1.882145087,0.000330631
123,1.988029559,0.000323263
124,1.912506461,0.000315938
125,1.876977642,0.000308658
126,2.007837693,0.000301426
127,1.915266991,0.000294243
128,1.939519246,0.00028711
129,1.888138215,0.00028003
130,1.877433538,0.000273005
131,1.914194981,0.000266035
132,1.925405701,0.000259123
133,1.906018575,0.000252271
134,1.956764976,0.000245479
135,1.909845591,0.000238751
